Variant,p-value,AF_AFR,AF_AMR,AF_EAS,AF_EUR,AF_SAS,AC_AFR,AC_AMR,AC_EAS,AC_EUR,AC_SAS,RC_AFR,RC_AMR,RC_EAS,RC_EUR,RC_SAS
22:16511719,2.251e-20,0.6536,0.9035,0.8234,0.8728,0.8671,864,627,830,878,848,458,67,178,128,130
22:16512007,3.731e-70,0.1679,0.6081,0.6091,0.6412,0.5143,222,422,614,645,503,1100,272,394,361,475
22:16512519,5.677e-16,0.6861,0.9063,0.8313,0.8777,0.8722,907,629,838,883,853,415,65,170,123,125
22:16512564,5.181e-66,0.1657,0.5836,0.5903,0.6163,0.499,219,405,595,620,488,1103,289,413,386,490
22:16515973,7.215e-63,0.1861,0.6167,0.6002,0.6412,0.5164,246,428,605,645,505,1076,266,403,361,473
22:16518157,6.536e-74,0.1513,0.6124,0.5873,0.6163,0.502,200,425,592,620,491,1122,269,416,386,487
22:16518451,6.613e-73,0.1664,0.6268,0.6161,0.6481,0.5194,220,435,621,652,508,1102,259,387,354,470
22:16520268,2.374e-74,0.1634,0.6268,0.6161,0.6471,0.5194,216,435,621,651,508,1106,259,387,355,470
22:16522386,4.284e-72,0.1679,0.6297,0.6161,0.6471,0.5194,222,437,621,651,508,1100,257,387,355,470
22:16522817,8.660e-43,0.4236,0.072,0.1637,0.0646,0.0828,560,50,165,65,81,762,644,843,941,897
22:16525590,2.476e-71,0.1664,0.6326,0.6151,0.6491,0.5153,220,439,620,653,504,1102,255,388,353,474
22:16526383,2.817e-48,0.3525,0.6916,0.7986,0.6819,0.7239,466,480,805,686,708,856,214,203,320,270
22:16530228,6.622e-71,0.1672,0.6282,0.6151,0.6471,0.5153,221,436,620,651,504,1101,258,388,355,474
22:16530715,1.136e-30,0.149,0.0086,0.0,0.0,0.0,197,6,0,0,0,1125,688,1008,1006,978
22:16530737,2.370e-35,0.1672,0.0086,0.0,0.0,0.0,221,6,0,0,0,1101,688,1008,1006,978
22:16531941,1.072e-21,0.0575,0.2003,0.253,0.3588,0.2127,76,139,255,361,208,1246,555,753,645,770
22:16533604,9.338e-69,0.1641,0.6196,0.6111,0.6362,0.5051,217,430,616,640,494,1105,264,392,366,484
22:16536361,8.041e-32,0.1702,0.0144,0.0,0.0,0.0,225,10,0,0,0,1097,684,1008,1006,978
22:16537357,2.102e-37,0.3956,0.6931,0.8026,0.6839,0.7249,523,481,809,688,709,799,213,199,318,269
22:16537607,2.336e-32,0.1717,0.0144,0.0,0.0,0.0,227,10,0,0,0,1095,684,1008,1006,978
22:16538427,4.639e-64,0.1815,0.6225,0.6171,0.6501,0.5143,240,432,622,654,503,1082,262,386,352,475
22:16540464,2.246e-34,0.1793,0.0144,0.0,0.0,0.0,237,10,0,0,0,1085,684,1008,1006,978
22:16540702,1.673e-65,0.1823,0.6282,0.619,0.6501,0.5194,241,436,624,654,508,1081,258,384,352,470
22:16541811,6.490e-25,0.1415,0.0144,0.0,0.0,0.0,187,10,0,0,0,1135,684,1008,1006,978
22:16541963,4.049e-89,0.1392,0.5692,0.6944,0.5348,0.6043,184,395,700,538,591,1138,299,308,468,387
22:16542692,3.009e-19,0.0635,0.2032,0.2133,0.3241,0.1851,84,141,215,326,181,1238,553,793,680,797
22:16544863,4.959e-48,0.1082,0.5014,0.5308,0.4751,0.3609,143,348,535,478,353,1179,346,473,528,625
22:16545658,8.025e-30,0.1581,0.013,0.0,0.0,0.0,209,9,0,0,0,1113,685,1008,1006,978
22:16546880,5.502e-58,0.1762,0.5778,0.6032,0.6133,0.4888,233,401,608,617,478,1089,293,400,389,500
22:16547278,1.481e-58,0.1717,0.5807,0.6052,0.6103,0.4847,227,403,610,614,474,1095,291,398,392,504
22:16548755,1.404e-28,0.6051,0.8948,0.8155,0.8658,0.8569,800,621,822,871,838,522,73,186,135,140
22:16550811,1.562e-64,0.1853,0.6196,0.62,0.6501,0.5204,245,430,625,654,509,1077,264,383,352,469
22:16550974,2.090e-24,0.1286,0.0101,0.0,0.0,0.0,170,7,0,0,0,1152,687,1008,1006,978
22:16551355,3.290e-54,0.2103,0.6225,0.619,0.6501,0.5204,278,432,624,654,509,1044,262,384,352,469
22:16552355,2.090e-24,0.1286,0.0101,0.0,0.0,0.0,170,7,0,0,0,1152,687,1008,1006,978
22:16552793,1.306e-57,0.1831,0.5605,0.5992,0.5696,0.4969,242,389,604,573,486,1080,305,404,433,492
22:16553221,1.091e-58,0.1808,0.5576,0.5992,0.5696,0.4969,239,387,604,573,486,1083,307,404,433,492
22:16556883,2.242e-122,0.1286,0.6412,0.6954,0.5835,0.6677,170,445,701,587,653,1152,249,307,419,325
22:16557003,1.200e-24,0.1293,0.0101,0.0,0.0,0.0,171,7,0,0,0,1151,687,1008,1006,978
22:16557053,9.590e-22,0.0174,0.121,0.122,0.163,0.136,23,84,123,164,133,1299,610,885,842,845
22:16557757,4.534e-39,0.3828,0.6873,0.7946,0.674,0.7178,506,477,801,678,702,816,217,207,328,276
22:16560103,2.932e-48,0.115,0.5043,0.5119,0.5129,0.3722,152,350,516,516,364,1170,344,492,490,614
22:16560113,2.932e-48,0.115,0.5043,0.5119,0.5129,0.3722,152,350,516,516,364,1170,344,492,490,614
22:16560118,2.932e-48,0.115,0.5043,0.5119,0.5129,0.3722,152,350,516,516,364,1170,344,492,490,614
22:16562954,5.195e-61,0.1815,0.6052,0.6062,0.6471,0.5051,240,420,611,651,494,1082,274,397,355,484
22:16564036,5.195e-61,0.1815,0.6081,0.6101,0.6461,0.5051,240,422,615,650,494,1082,272,393,356,484
22:16565478,3.576e-60,0.1785,0.5764,0.5923,0.6362,0.499,236,400,597,640,488,1086,294,411,366,490
22:16565665,2.096e-23,0.1241,0.0101,0.0,0.0,0.0,164,7,0,0,0,1158,687,1008,1006,978
22:16566779,1.738e-11,0.0862,0.1931,0.248,0.3628,0.1963,114,134,250,365,192,1208,560,758,641,786
22:16567449,1.261e-46,0.298,0.6297,0.7153,0.6322,0.6677,394,437,721,636,653,928,257,287,370,325
22:16567802,3.025e-36,0.4667,0.8357,0.7242,0.8052,0.7822,617,580,730,810,765,705,114,278,196,213
22:16569712,2.021e-62,0.2466,0.6268,0.7371,0.6322,0.6626,326,435,743,636,648,996,259,265,370,330
22:16570734,7.895e-64,0.1831,0.6153,0.6131,0.6491,0.5153,242,427,618,653,504,1080,267,390,353,474
22:16571243,2.535e-61,0.1815,0.5951,0.6091,0.6471,0.5061,240,413,614,651,495,1082,281,394,355,483
22:16572047,1.208e-22,0.0166,0.1225,0.1329,0.1839,0.1503,22,85,134,185,147,1300,609,874,821,831
22:16575221,1.573e-49,0.174,0.5692,0.5665,0.5954,0.4591,230,395,571,599,449,1092,299,437,407,529
22:16575576,8.979e-53,0.3835,0.817,0.7004,0.7982,0.7791,507,567,706,803,762,815,127,302,203,216
22:16576449,5.759e-34,0.1664,0.0101,0.0,0.0,0.0,220,7,0,0,0,1102,687,1008,1006,978
22:16577075,1.421e-36,0.3411,0.6354,0.7143,0.6292,0.6738,451,441,720,633,659,871,253,288,373,319
22:16578265,3.228e-60,0.1808,0.6124,0.6081,0.6372,0.502,239,425,613,641,491,1083,269,395,365,487
22:16579113,3.772e-24,0.1278,0.0101,0.0,0.0,0.0,169,7,0,0,0,1153,687,1008,1006,978
22:16579906,3.027e-24,0.0166,0.1282,0.1339,0.167,0.138,22,89,135,168,135,1300,605,873,838,843
22:16580254,2.558e-17,0.6619,0.902,0.8175,0.8748,0.8661,875,626,824,880,847,447,68,184,126,131
22:16581158,2.350e-59,0.1831,0.5908,0.5962,0.6382,0.502,242,410,601,642,491,1080,284,407,364,487
22:16585993,3.495e-24,0.1392,0.0144,0.0,0.0,0.0,184,10,0,0,0,1138,684,1008,1006,978
22:16586715,1.025e-09,0.3722,0.6009,0.5327,0.6203,0.5,492,417,537,624,489,830,277,471,382,489
22:16588095,1.712e-42,0.2095,0.5879,0.6052,0.6223,0.4796,277,408,610,626,469,1045,286,398,380,509
22:16588968,1.408e-64,0.4198,0.8343,0.7659,0.832,0.7975,555,579,772,837,780,767,115,236,169,198
22:16592083,3.873e-24,0.1271,0.0101,0.0,0.0,0.0,168,7,0,0,0,1154,687,1008,1006,978
22:16592721,1.422e-10,0.0885,0.1902,0.25,0.3618,0.1943,117,132,252,364,190,1205,562,756,642,788
22:16597156,6.366e-48,0.1906,0.5922,0.6101,0.6292,0.4755,252,411,615,633,465,1070,283,393,373,513
22:16597928,7.540e-50,0.1868,0.5793,0.6091,0.6213,0.4765,247,402,614,625,466,1075,292,394,381,512
22:16598482,5.435e-48,0.1929,0.5865,0.624,0.6272,0.4785,255,407,629,631,468,1067,287,379,375,510
22:16599136,4.065e-72,0.3502,0.8285,0.7212,0.8141,0.7894,463,575,727,819,772,859,119,281,187,206
22:16600763,7.213e-50,0.1899,0.5778,0.6171,0.6262,0.4806,251,401,622,630,470,1071,293,386,376,508
22:16600783,7.213e-50,0.1899,0.5778,0.6171,0.6262,0.4806,251,401,622,630,470,1071,293,386,376,508
22:16601556,1.773e-33,0.1316,0.3963,0.4087,0.3877,0.3436,174,275,412,390,336,1148,419,596,616,642
22:16606071,2.661e-22,0.1309,0.0144,0.0,0.0,0.0,173,10,0,0,0,1149,684,1008,1006,978
22:16606329,1.086e-49,0.1861,0.5778,0.5942,0.6213,0.4755,246,401,599,625,465,1076,293,409,381,513
22:16606768,3.215e-36,0.1868,0.0144,0.0,0.0,0.0,247,10,0,0,0,1075,684,1008,1006,978
22:16607993,4.688e-13,0.062,0.1657,0.2202,0.2744,0.1789,82,115,222,276,175,1240,579,786,730,803
22:16607994,4.688e-13,0.062,0.1657,0.2202,0.2744,0.1789,82,115,222,276,175,1240,579,786,730,803
22:16609466,1.313e-62,0.3404,0.804,0.6865,0.7893,0.7423,450,558,692,794,726,872,136,316,212,252
22:16609600,1.521e-61,0.385,0.8256,0.7262,0.8062,0.7689,509,573,732,811,752,813,121,276,195,226
22:16610606,3.772e-24,0.1278,0.0101,0.0,0.0,0.0,169,7,0,0,0,1153,687,1008,1006,978
22:16612141,1.356e-76,0.3177,0.7882,0.7004,0.7823,0.7474,420,547,706,787,731,902,147,302,219,247
22:16617627,5.228e-17,0.6589,0.902,0.8135,0.8698,0.864,871,626,820,875,845,451,68,188,131,133
22:16620667,1.667e-61,0.1649,0.5706,0.5804,0.6034,0.4847,218,396,585,607,474,1104,298,423,399,504
22:16620701,5.913e-19,0.5492,0.8357,0.7282,0.8032,0.7883,726,580,734,808,771,596,114,274,198,207
22:16623273,2.874e-57,0.1808,0.5821,0.6161,0.6421,0.4928,239,404,621,646,482,1083,290,387,360,496
22:16624093,5.903e-41,0.2005,0.013,0.0,0.0,0.0,265,9,0,0,0,1057,685,1008,1006,978
22:16624702,1.125e-57,0.1823,0.5807,0.6151,0.6431,0.4959,241,403,620,647,485,1081,291,388,359,493
22:16624726,1.116e-17,0.6611,0.9035,0.8185,0.8748,0.863,874,627,825,880,844,448,67,183,126,134
22:16626327,1.304e-46,0.466,0.8545,0.7569,0.836,0.7996,616,593,763,841,782,706,101,245,165,196
22:16628321,9.267e-19,0.6725,0.9063,0.8323,0.8807,0.863,889,629,839,886,844,433,65,169,120,134
22:16628768,2.146e-34,0.18,0.0144,0.0,0.0,0.0,238,10,0,0,0,1084,684,1008,1006,978
22:16629378,1.645e-41,0.0219,0.2046,0.2837,0.2853,0.181,29,142,286,287,177,1293,552,722,719,801
22:16632403,1.247e-57,0.18,0.5879,0.6101,0.6392,0.4928,238,408,615,643,482,1084,286,393,363,496
22:16632632,4.148e-32,0.3207,0.7334,0.6012,0.7604,0.5665,424,509,606,765,554,898,185,402,241,424
22:16632893,2.874e-19,0.438,0.781,0.63,0.828,0.6268,579,542,635,833,613,743,152,373,173,365
22:16632974,1.329e-25,0.5174,0.8343,0.7292,0.8101,0.774,684,579,735,815,757,638,115,273,191,221
22:16634706,1.123e-10,0.087,0.1888,0.253,0.3628,0.1933,115,131,255,365,189,1207,563,753,641,789
22:16635569,4.799e-59,0.1831,0.5821,0.6141,0.6441,0.501,242,404,619,648,490,1080,290,389,358,488
22:16636637,2.460e-63,0.1853,0.6138,0.627,0.6511,0.5174,245,426,632,655,506,1077,268,376,351,472
22:16637501,3.873e-24,0.1271,0.0101,0.0,0.0,0.0,168,7,0,0,0,1154,687,1008,1006,978
22:16642932,1.803e-35,0.1762,0.0115,0.0,0.0,0.0,233,8,0,0,0,1089,686,1008,1006,978
22:16643454,5.918e-28,0.2927,0.7579,0.5575,0.7366,0.5184,387,526,562,741,507,935,168,446,265,471
