Variant,p-value,AF_AFR,AF_AMR,AF_EAS,AF_EUR,AF_SAS,AC_AFR,AC_AMR,AC_EAS,AC_EUR,AC_SAS,RC_AFR,RC_AMR,RC_EAS,RC_EUR,RC_SAS
22:16242751,6.865e-08,0.3396,0.5548,0.7004,0.5477,0.5838,449,385,706,551,571,873,309,302,455,407
22:16245839,4.919e-11,0.2746,0.4957,0.6895,0.4732,0.546,363,344,695,476,534,959,350,313,530,444
22:16248430,3.663e-31,0.7874,0.7089,0.9782,0.7376,0.8344,1041,492,986,742,816,281,202,22,264,162
22:16252197,4.638e-14,0.2882,0.5274,0.752,0.5278,0.593,381,366,758,531,580,941,328,250,475,398
22:16252413,2.473e-50,0.4697,0.5677,0.9673,0.6004,0.7444,621,394,975,604,728,701,300,33,402,250
22:16252532,6.756e-51,0.5197,0.5663,0.9663,0.5924,0.7403,687,393,974,596,724,635,301,34,410,254
22:16255517,3.398e-40,0.7564,0.683,0.9653,0.6889,0.774,1000,474,973,693,757,322,220,35,313,221
22:16255935,2.331e-20,0.6014,0.5375,0.8611,0.5755,0.6892,795,373,868,579,674,527,321,140,427,304
22:16257707,7.044e-11,0.1626,0.4438,0.6329,0.4235,0.4877,215,308,638,426,477,1107,386,370,580,501
22:16260678,1.839e-44,0.3888,0.5634,0.9673,0.6133,0.7638,514,391,975,617,747,808,303,33,389,231
22:16267558,3.023e-26,0.8434,0.6758,0.9762,0.7097,0.8476,1115,469,984,714,829,207,225,24,292,149
22:16269466,5.957e-43,0.6641,0.6066,0.9712,0.6262,0.7771,878,421,979,630,760,444,273,29,376,218
22:16269779,2.018e-32,0.7504,0.7421,0.9851,0.7594,0.8466,992,515,993,764,828,330,179,15,242,150
22:16274073,3.364e-11,0.1876,0.4366,0.6637,0.4245,0.5174,248,303,669,427,506,1074,391,339,579,472
22:16277622,1.015e-48,0.3298,0.5216,0.9167,0.5467,0.6534,436,362,924,550,639,886,332,84,456,339
22:16277634,1.383e-14,0.1596,0.1974,0.4901,0.2406,0.32,211,137,494,242,313,1111,557,514,764,665
22:16281943,4.245e-15,0.1188,0.1441,0.3274,0.1759,0.1513,157,100,330,177,148,1165,594,678,829,830
22:16288739,5.423e-24,0.5711,0.4481,0.2163,0.4751,0.4468,755,311,218,478,437,567,383,790,528,541
22:16289275,6.978e-10,0.4259,0.3372,0.1617,0.3608,0.2761,563,234,163,363,270,759,460,845,643,708
22:16289673,2.780e-08,0.6853,0.2925,0.1637,0.2654,0.3681,906,203,165,267,360,416,491,843,739,618
22:16290704,4.998e-15,0.4206,0.3141,0.1528,0.333,0.3016,556,218,154,335,295,766,476,854,671,683
22:16341116,2.319e-36,0.3048,0.2219,0.0179,0.1988,0.1738,403,154,18,200,170,919,540,990,806,808
22:16341494,2.319e-36,0.2965,0.2219,0.0179,0.1988,0.1738,392,154,18,200,170,930,540,990,806,808
22:16341685,2.586e-35,0.3306,0.2277,0.0188,0.1988,0.1728,437,158,19,200,169,885,536,989,806,809
22:16341826,4.659e-36,0.3101,0.2277,0.0179,0.1988,0.1728,410,158,18,200,169,912,536,990,806,809
22:16364923,5.077e-07,0.8442,0.4582,0.3363,0.4612,0.4785,1116,318,339,464,468,206,376,669,542,510
22:16393312,3.000e-33,0.1778,0.2233,0.0169,0.1948,0.1616,235,155,17,196,158,1087,539,991,810,820
22:16400487,5.508e-13,0.2678,0.2939,0.1339,0.2992,0.2628,354,204,135,301,257,968,490,873,705,721
22:16425814,2.803e-26,0.2443,0.1945,0.0149,0.163,0.1319,323,135,15,164,129,999,559,993,842,849
22:16440561,1.034e-23,0.2405,0.2017,0.0129,0.172,0.1176,318,140,13,173,115,1004,554,995,833,863
22:16451245,1.187e-28,0.2474,0.2161,0.0129,0.1879,0.135,327,150,13,189,132,995,544,995,817,846
22:16459587,1.187e-28,0.2247,0.2104,0.0129,0.1928,0.135,297,146,13,194,132,1025,548,995,812,846
22:16473813,4.763e-30,0.23,0.2104,0.0119,0.1948,0.137,304,146,12,196,134,1018,548,996,810,844
22:16477171,1.361e-24,0.1157,0.232,0.0139,0.2117,0.1513,153,161,14,213,148,1169,533,994,793,830
22:16477443,3.345e-25,0.1195,0.2334,0.0149,0.2157,0.1544,158,162,15,217,151,1164,532,993,789,827
22:16491206,2.665e-27,0.2481,0.2176,0.0139,0.1899,0.1329,328,151,14,191,130,994,543,994,815,848
22:16492204,9.073e-28,0.2231,0.2133,0.0129,0.1879,0.1319,295,148,13,189,129,1027,546,995,817,849
22:16508046,1.344e-18,0.0212,0.0692,0.2351,0.0915,0.0644,28,48,237,92,63,1294,646,771,914,915
22:16514160,1.187e-28,0.2398,0.2118,0.0129,0.1889,0.135,317,147,13,190,132,1005,547,995,816,846
22:16517477,4.611e-28,0.233,0.2133,0.0129,0.1879,0.1329,308,148,13,189,130,1014,546,995,817,848
22:16526485,1.812e-28,0.2375,0.2089,0.0139,0.1899,0.137,314,145,14,191,134,1008,549,994,815,844
22:16532046,3.039e-29,0.205,0.2118,0.0129,0.1889,0.137,271,147,13,190,134,1051,547,995,816,844
22:16542224,1.535e-29,0.2405,0.2133,0.0129,0.1938,0.138,318,148,13,195,135,1004,546,995,811,843
22:16557172,4.611e-28,0.23,0.2061,0.0129,0.1879,0.1329,304,143,13,189,130,1018,551,995,817,848
22:16589430,9.073e-28,0.2171,0.196,0.0129,0.171,0.1319,287,136,13,172,129,1035,558,995,834,849
22:16590657,3.904e-30,0.1498,0.2046,0.0129,0.1958,0.1401,198,142,13,197,137,1124,552,995,809,841
22:16610844,7.457e-29,0.1392,0.2046,0.0119,0.1909,0.1329,184,142,12,192,130,1138,552,996,814,848
22:16612757,4.611e-28,0.2421,0.2133,0.0129,0.1889,0.1329,320,148,13,190,130,1002,546,995,816,848
22:16614145,9.238e-26,0.1165,0.2003,0.0129,0.1869,0.1288,154,139,13,188,126,1168,555,995,818,852
22:16626992,5.129e-26,0.2451,0.2075,0.0129,0.1859,0.1258,324,144,13,187,123,998,550,995,819,855
22:16631921,1.343e-26,0.2557,0.2104,0.0129,0.1859,0.1278,338,146,13,187,125,984,548,995,819,853
22:16635765,3.500e-27,0.2549,0.2118,0.0129,0.1889,0.1299,337,147,13,190,127,985,547,995,816,851
22:16636057,3.500e-27,0.2542,0.2118,0.0129,0.1889,0.1299,336,147,13,190,127,986,547,995,816,851
22:16636560,6.861e-27,0.2542,0.2118,0.0129,0.1889,0.1288,336,147,13,190,126,986,547,995,816,852
22:16636563,6.861e-27,0.2542,0.2118,0.0129,0.1889,0.1288,336,147,13,190,126,986,547,995,816,852
22:16637483,1.343e-26,0.2496,0.2118,0.0129,0.1869,0.1278,330,147,13,188,125,992,547,995,818,853
22:16643385,3.790e-25,0.1891,0.2046,0.0129,0.1849,0.1227,250,142,13,186,120,1072,552,995,820,858
22:16645294,1.343e-26,0.2526,0.2118,0.0129,0.1879,0.1278,334,147,13,189,125,988,547,995,817,853
